"ResourceID","ResourceType","Name","CategoryType"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/contosoall/providers/Microsoft.Network/networkSecurityGroups/Vnet01-Default-nsg-eastus","Microsoft.Network/networkSecurityGroups","NetworkSecurityGroupEvent","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/contosoall/providers/Microsoft.Network/networkSecurityGroups/Vnet01-Default-nsg-eastus","Microsoft.Network/networkSecurityGroups","NetworkSecurityGroupRuleCounter","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Automation/automationAccounts/VBTest1","Microsoft.Automation/automationAccounts","JobLogs","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Automation/automationAccounts/VBTest1","Microsoft.Automation/automationAccounts","JobStreams","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Automation/automationAccounts/VBTest1","Microsoft.Automation/automationAccounts","DscNodeStatus","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Automation/automationAccounts/VBTest1","Microsoft.Automation/automationAccounts","AuditEvent","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Automation/automationAccounts/VBTest1","Microsoft.Automation/automationAccounts","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/publicIPAddresses/emreg-ubuntu01-ip","Microsoft.Network/publicIPAddresses","DDoSProtectionNotifications","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/publicIPAddresses/emreg-ubuntu01-ip","Microsoft.Network/publicIPAddresses","DDoSMitigationFlowLogs","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/publicIPAddresses/emreg-ubuntu01-ip","Microsoft.Network/publicIPAddresses","DDoSMitigationReports","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/publicIPAddresses/emreg-ubuntu01-ip","Microsoft.Network/publicIPAddresses","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/networkInterfaces/emreg-ubuntu01208","Microsoft.Network/networkInterfaces","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Compute/virtualMachines/emreg-ub01","Microsoft.Compute/virtualMachines","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/CONTOSOALL/providers/Microsoft.Compute/disks/emreg-ub01_disk1_e17a6c650cfc46a6988d07ef1f4bddab","Microsoft.Compute/disks","Disk Performance","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","kube-apiserver","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","kube-audit","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","kube-audit-admin","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","kube-controller-manager","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","kube-scheduler","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","cluster-autoscaler","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","cloud-controller-manager","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","guard","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","csi-azuredisk-controller","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","csi-azurefile-controller","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","csi-snapshot-controller","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.ContainerService/managedClusters/emreg-AKS01","Microsoft.ContainerService/managedClusters","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.KeyVault/vaults/emreg-vault01","Microsoft.KeyVault/vaults","AuditEvent","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.KeyVault/vaults/emreg-vault01","Microsoft.KeyVault/vaults","AzurePolicyEvaluationDetails","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.KeyVault/vaults/emreg-vault01","Microsoft.KeyVault/vaults","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Kubernetes/connectedClusters/docker-desktop","Microsoft.Kubernetes/connectedClusters","Availability","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.OperationalInsights/workspaces/Spark22WinterWS","Microsoft.OperationalInsights/workspaces","Audit","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.OperationalInsights/workspaces/Spark22WinterWS","Microsoft.OperationalInsights/workspaces","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Storage/storageAccounts/spark22storageaccount","Microsoft.Storage/storageAccounts","Capacity","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Storage/storageAccounts/spark22storageaccount","Microsoft.Storage/storageAccounts","Transaction","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AppAvailabilityResults","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AppBrowserTimings","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AppEvents","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AppMetrics","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AppDependencies","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AppExceptions","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AppPageViews","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AppPerformanceCounters","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AppRequests","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AppSystemEvents","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AppTraces","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/microsoft.insights/components/Spark22SendAlertNotificationToTeamsChann","microsoft.insights/components","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.DBforPostgreSQL/flexibleServers/emreg-flex","Microsoft.DBforPostgreSQL/flexibleServers","PostgreSQLLogs","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.DBforPostgreSQL/flexibleServers/emreg-flex","Microsoft.DBforPostgreSQL/flexibleServers","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Web/serverFarms/ASP-ContosoAll-a6ee","Microsoft.Web/serverFarms","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/contosoall/providers/Microsoft.Web/sites/emreg-function","Microsoft.Web/sites","FunctionAppLogs","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/contosoall/providers/Microsoft.Web/sites/emreg-function","Microsoft.Web/sites","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/bastionHosts/Vnet01-bastion","Microsoft.Network/bastionHosts","BastionAuditLogs","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/bastionHosts/Vnet01-bastion","Microsoft.Network/bastionHosts","AllMetrics","Metrics"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/contosoall/providers/Microsoft.Network/virtualNetworks/Vnet01","Microsoft.Network/virtualNetworks","VMProtectionAlerts","Logs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/contosoall/providers/Microsoft.Network/virtualNetworks/Vnet01","Microsoft.Network/virtualNetworks","AllMetrics","Metrics"
